GPA,Absences,Engagement_Ratio,StudyTimeWeekly,Support_Index,ParentalEducation,ParentalSupport,Age,Ethnicity,Activity_Score,GradeClass
0.7322988979169203,0.2413793103448275,4.095948378872414,0.99277314327911,3,2,2,0.6666666666666661,0,1,2.0
0.7607287083590942,0.0,771.2704924672597,0.7712704924672598,1,1,1,1.0,0,0,1.0
0.0281505636165453,0.896551724137931,0.2347693023521593,0.2107175921008398,2,3,2,0.0,2,0,4.0
0.5135545349257371,0.4827586206896551,1.0376351860477506,0.5019649663815134,3,3,3,0.6666666666666661,0,1,3.0
0.3220152954488469,0.5862068965517241,0.3982249129284238,0.2338404152502803,4,2,3,0.6666666666666661,0,0,4.0
0.7710459036215984,0.0,409.978808138641,0.409978808138641,1,1,1,1.0,0,1,1.0
0.6870593537228957,0.3448275862068966,2.2581420117285154,0.780927801228458,3,1,3,0.0,1,1,2.0
0.3400356780791152,0.7586206896551724,1.016373592911037,0.7720584095943872,2,4,1,0.0,1,1,4.0
0.7242047973783923,0.0344827586206896,6.434383582087442,0.2283096795161368,2,0,2,0.6666666666666661,0,2,2.0
0.8933685525824414,0.0,923.230477216908,0.923230477216908,3,1,3,0.333333333333333,0,1,0.0
0.5367929062546286,0.3793103448275862,1.5597693537072057,0.5931964207598887,1,1,1,0.6666666666666661,0,0,3.0
0.3898986297600693,0.5172413793103449,0.7338435742145941,0.3803081060990047,2,1,2,0.6666666666666661,0,1,4.0
0.380019453718702,0.7241379310344828,0.6929159542068067,0.5024596414143082,3,1,3,0.6666666666666661,1,1,4.0
0.4378952395835196,0.7241379310344828,0.8353084801180846,0.6057138630483863,4,2,4,0.6666666666666661,1,1,4.0
0.599197029281199,0.3103448275862069,1.800194379210459,0.5604812086169392,3,1,2,1.0,0,0,3.0
0.3353801791336668,0.5862068965517241,0.8291987840949238,0.4869112446328433,1,2,0,0.0,0,1,4.0
0.558043819428994,0.4827586206896551,1.044860573546444,0.5054603098718297,2,1,2,1.0,3,2,3.0
0.3461010439235084,0.5517241379310345,0.319439276806066,0.1765617988939459,3,0,2,1.0,0,0,4.0
0.1173883308449676,1.0,0.8128014085435489,0.8136142099520923,2,3,2,1.0,1,2,4.0
0.598946023632675,0.3103448275862069,1.7418955092372317,0.542330156996654,2,1,2,0.6666666666666661,0,1,3.0
0.6946028249801632,0.0689655172413793,1.8748899252215285,0.1311776433887752,3,3,3,0.333333333333333,0,1,2.0
0.0867235091762537,0.8620689655172413,0.8886715911044164,0.7669848708190495,1,2,1,0.0,0,1,4.0
0.0781365576313387,1.0,0.9325303551902174,0.9334628855454076,2,0,1,0.333333333333333,1,0,4.0
0.4425329691949933,0.6896551724137931,1.3731061873157924,0.9483428905430348,2,4,2,1.0,3,1,4.0
0.3762889055090714,0.5172413793103449,0.7127740581619108,0.3693890110384606,2,1,2,1.0,0,0,4.0
0.7444629795789357,0.1724137931034483,0.7820586409372856,0.1356197553542624,4,3,4,0.333333333333333,0,1,2.0
0.7371794179779803,0.0689655172413793,7.4171196365534975,0.5189426118126567,2,1,2,0.333333333333333,0,1,2.0
0.536301180116798,0.2758620689655172,0.40701053937651305,0.1126857800225525,3,3,3,0.333333333333333,0,1,3.0
0.7137009822453295,0.3448275862068966,2.703682809224304,0.9350080997831224,3,0,3,1.0,0,1,2.0
0.3798604314537847,0.6896551724137931,0.26603399506720027,0.1837377547310674,3,2,3,1.0,0,1,4.0
0.4317800773806022,0.4137931034482758,0.6099511084514929,0.2530035132263106,1,2,0,0.0,2,1,4.0
0.4618838677846976,0.5862068965517241,0.6931986812630291,0.4070510463182111,4,3,4,0.0,0,1,4.0
0.0961542432141219,0.8620689655172413,0.4444048198144658,0.383552008108147,1,3,1,1.0,0,1,4.0
0.23735152444932,0.7241379310344828,1.0970649768542542,0.7955234275264866,0,3,0,0.333333333333333,3,2,4.0
0.2852398546050849,0.9310344827586208,0.4900982241459354,0.4567884448427755,3,3,2,0.333333333333333,0,2,4.0
0.065368065012688,0.7931034482758621,0.2152259403533648,0.170911661393022,1,1,1,0.0,3,0,4.0
0.0545712142052579,0.896551724137931,0.297993022819601,0.2674641514128067,2,1,1,1.0,0,0,4.0
0.2669408877604949,0.7241379310344828,0.7028258687265083,0.5096456963258532,2,1,1,0.0,2,1,4.0
0.7547264646069919,0.1034482758620689,1.4128574071663247,0.1475705202174757,2,1,1,0.0,1,2,1.0
0.3817169579481808,0.7241379310344828,0.8443991515196382,0.6123058537002232,4,1,3,0.6666666666666661,2,2,4.0
0.2645718499224651,0.7931034482758621,0.7131875785243695,0.566344715373714,2,2,1,0.6666666666666661,3,0,4.0
0.6562820244330577,0.2413793103448275,2.951864744801501,0.715470941076198,2,1,2,0.6666666666666661,0,0,2.0
0.7021887055071634,0.4137931034482758,2.2631272351597187,0.9387295693702156,5,2,4,0.333333333333333,3,0,2.0
0.722222917318111,0.3103448275862069,2.933243724287153,0.913250261606507,2,1,2,1.0,0,1,2.0
1.0,0.0344827586206896,26.69212403148263,0.9471101940826064,4,1,3,1.0,0,2,0.0
0.6288250680640622,0.2413793103448275,1.0105812934312037,0.2449439969492389,4,2,4,1.0,0,1,2.0
0.6409413575037737,0.1724137931034483,0.7592455245935936,0.1316636463165925,1,2,1,1.0,1,1,2.0
0.425902950808092,0.5172413793103449,0.5838423482421575,0.3025712638528064,2,2,2,0.6666666666666661,0,0,4.0
0.5249712891801463,0.5862068965517241,1.525971754136025,0.8960611379718058,3,2,3,0.333333333333333,1,1,3.0
0.6152617407270239,0.5517241379310345,1.7605851527418899,0.9731179108034398,4,1,4,0.333333333333333,1,1,3.0
0.733869297923658,0.1724137931034483,4.960734647488603,0.860259811800696,3,2,3,0.6666666666666661,2,0,2.0
0.4965945148046866,0.4137931034482758,0.26541254443388484,0.1100912929998345,2,0,1,0.333333333333333,2,2,4.0
